from,to,distance
BES1,C001,1 
C001,C002,3 
C002,B043,2 
C002,C003,1 
C003,B040,1 
C003,E1,3 
C003,C004,1 
C004,C005,4 
C005,B007,1 
C005,C006,6 
C006,C007,2 
C006,B004,1 
C007,B042,1 
C007,B005,1 
C007,C008,11 
C008,B006,2 
C008,B041,8 
C001,C009,17 
C009,C010,3 
C010,B008,2 
C010,B009,2 
C009,C011,17 
C011,C012,4 
C012,WC1,1 
C012,E2,2 
C012,C013,5 
C013,B045,1 
C013,B013,1 
C013,C014,10 
C014,B048,1 
C014,C015,1 
C015,B010,1 
C015,C016,2 
C016,B011,1 
C016,C017,6 
C017,B012,1 
C017,B046,1 
C017,B047,1 
C011,C018,20
C018,B001,9 
C018,B002,9 
C018,B003,9
C018,C057,7
C057,BES2,2
C057,C030,11
C020,C021,3 
C021,B049,1 
C021,B053,1 
C021,C022,2 
C022,E3,1 
C022,B050,1
C022,C023,5 
C023,B017,1 
C023,C024,6 
C024,C025,1 
C024,B014,1 
C025,B015,1 
C025,B052,1 
C025,C026,11 
C026,B016,1 
C026,B051,1 
C020,C027,17 
C027,C028,3 
C028,B018,1 
C028,B019,1 
C027,C029,17 
C029,C030,3 
C030,B054,1 
C030,C031,2 
C031,E4,1 
C031,WC2,1 
C031,B086,1 
C031,C032,4 
C032,B055,1 
C032,B023,1 
C032,C033,9 
C033,B059,1 
C033,C034,2 
C034,B020,1 
C034,C035,2 
C035,B021,1 
C035,C036,6 
C036,B056,1 
C036,B057,1 
C036,B058,1 
C036,B022,1 
C029,C037,18 
C037,C038,3 
C038,B024,1 
C038,B025,1 
C037,C039,18 
C039,C040,2 
C040,B065,1 
C040,C041,2 
C041,WC3,1 
C041,E5,1 
C041,B087,1 
C041,C042,4 
C042,B060,1 
C042,B029,1 
C042,C043,10 
C043,B064,1 
C043,C044,2 
C044,B026,1 
C044,C045,1 
C045,B027,1 
C045,C046,6 
C046,B061,1 
C046,B062,1 
C046,B063,1 
C046,B028,1 
C039,C047,17
C047,C048,3 
C048,B030,1 
C048,B031,1 
C047,C049,18 
C049,C050,3 
C050,B066,1 
C050,C051,2 
C051,E6,1 
C051,C052,4 
C052,B035,1 
C052,B067,1 
C052,C053,9 
C053,B071,1 
C053,C054,2 
C054,B032,1 
C054,C055,2 
C055,B033,1 
C055,C056,6 
C056,B068,1 
C056,B069,1 
C056,B070,1 
C056,B034,1
C020,C027,17
